ticker,firm,county_fips,county_name,state,lat,lon
CPB,Campbell's Company (The),1019,Clinton,Kentucky,39.9448402,-75.1198911
COF,Capital One,1019,Clinton,Kentucky,38.9191272,-77.2229636
CAH,Cardinal Health,1071,McCracken,Kentucky,40.0996009,-83.1135563
KMX,CarMax,1019,Clinton,Kentucky,37.5385087,-77.43428
CCL,Carnival,1069,Martin,Kentucky,25.7741566,-80.1935973
CARR,Carrier Global,1069,Martin,Kentucky,26.8233946,-80.1386547
CAT,Caterpillar Inc.,1023,Edmonson,Kentucky,32.8295183,-96.9442177
CBOE,Cboe Global Markets,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
CBRE,CBRE Group,1023,Edmonson,Kentucky,32.7762719,-96.7968559
CDW,CDW Corporation,1077,Metcalfe,Kentucky,42.2373152,-87.9649487
COR,Cencora,1019,Clinton,Kentucky,40.0792766,-75.3015714
CNC,Centene Corporation,1077,Metcalfe,Kentucky,38.6280278,-90.1910154
CNP,CenterPoint Energy,1097,Scott,Kentucky,29.7589382,-95.3676974
CF,CF Industries,1077,Metcalfe,Kentucky,42.1711365,-87.8445119
CRL,Charles River Laboratories,1019,Clinton,Kentucky,42.5464828,-71.1736669
SCHW,Charles Schwab Corporation,1023,Edmonson,Kentucky,32.991226,-97.1943701
CHTR,Charter Communications,1019,Clinton,Kentucky,41.0534302,-73.5387341
CVX,Chevron Corporation,2016,Lamoure,North Dakota,37.7648021,-121.9544387
CMG,Chipotle Mexican Grill,2016,Lamoure,North Dakota,33.6170092,-117.9294401
CHD,Church & Dwight,1019,Clinton,Kentucky,40.2688105,-74.8006895
CI,Cigna,1019,Clinton,Kentucky,41.8313002,-72.7370265
CINF,Cincinnati Financial,1071,McCracken,Kentucky,39.7886111,-82.6418883
CTAS,Cintas,1071,McCracken,Kentucky,39.3600586,-84.309939
CSCO,Cisco,2016,Lamoure,North Dakota,37.3361663,-121.890591
C,Citigroup,1019,Clinton,Kentucky,40.7127281,-74.0060152
CFG,Citizens Financial Group,1019,Clinton,Kentucky,41.8239891,-71.4128343
CLX,Clorox,2016,Lamoure,North Dakota,37.8044557,-122.271356
CME,CME Group,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
CMS,CMS Energy,1071,McCracken,Kentucky,42.2416466,-84.425589
KO,Coca-Cola Company (The),1029,Franklin,Kentucky,33.7544657,-84.3898151
CTSH,Cognizant,1019,Clinton,Kentucky,40.8860164,-74.0072568
COIN,Coinbase,1019,Clinton,Kentucky,40.7127281,-74.0060152
CL,Colgate-Palmolive,1019,Clinton,Kentucky,40.7127281,-74.0060152
CMCSA,Comcast,1019,Clinton,Kentucky,39.9527237,-75.1635262
CAG,Conagra Brands,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
COP,ConocoPhillips,1097,Scott,Kentucky,29.7589382,-95.3676974
STZ,Constellation Brands,1071,McCracken,Kentucky,43.157285,-77.615214
CEG,Constellation Energy,1019,Clinton,Kentucky,39.2908816,-76.610759
COO,Cooper Companies (The),2016,Lamoure,North Dakota,37.7648021,-121.9544387
